# r	xi_analytic	xi_mean	xi_std	xi_stderr	bias_sigma
3.75	0.00000000	0.75621675	0.36618209	0.16376161	4.6178
5.25	0.00000000	0.50354435	0.36539100	0.16340782	3.0815
6.75	0.00000000	0.24178080	0.13323700	0.05958540	4.0577
8.25	0.00000000	0.16293896	0.17549136	0.07848212	2.0761
9.75	0.00000000	0.12269956	0.19424325	0.08686822	1.4125
11.25	0.00000000	0.11501268	0.04974149	0.02224507	5.1703
12.75	0.00000000	0.09049117	0.07282037	0.03256626	2.7787
14.25	0.00000000	0.03739906	0.07504417	0.03356077	1.1144
15.75	0.00000000	0.11809419	0.08623350	0.03856479	3.0622
17.25	0.00000000	0.04904212	0.01510354	0.00675451	7.2606
18.75	0.00000000	0.05974446	0.05126020	0.02292426	2.6062
20.25	0.00000000	0.05072851	0.03458904	0.01546869	3.2794
21.75	0.00000000	0.00550590	0.05110831	0.02285633	0.2409
23.25	0.00000000	0.02649249	0.06054096	0.02707474	0.9785
24.75	0.00000000	0.02304152	0.05745600	0.02569510	0.8967
26.25	0.00000000	0.02592058	0.01725152	0.00771512	3.3597
27.75	0.00000000	0.01363191	0.04857440	0.02172313	0.6275
29.25	0.00000000	-0.00419587	0.03801542	0.01700101	-0.2468
30.75	0.00000000	0.00158925	0.02570996	0.01149784	0.1382
32.25	0.00000000	0.01685323	0.01766676	0.00790082	2.1331
33.75	0.00000000	-0.02112771	0.02125497	0.00950551	-2.2227
35.25	0.00000000	0.00436026	0.02859089	0.01278623	0.3410
36.75	0.00000000	-0.00053613	0.02643557	0.01182234	-0.0453
38.25	0.00000000	0.02309568	0.02190447	0.00979598	2.3577
39.75	0.00000000	0.02003884	0.03143156	0.01405662	1.4256
41.25	0.00000000	-0.00811279	0.02454567	0.01097716	-0.7391
42.75	0.00000000	-0.00025998	0.02133382	0.00954077	-0.0272
44.25	0.00000000	0.01373100	0.03116793	0.01393872	0.9851
45.75	0.00000000	0.00648611	0.01564441	0.00699639	0.9271
47.25	0.00000000	-0.00069395	0.02539357	0.01135635	-0.0611
